scientific_name,cell_id,center_latitude,center_longitude,south_latitude,north_latitude,west_longitude,east_longitude,source
Ciconia ciconia,ciconia_ciconia_0001,36.00,-9.00,35.75,36.25,-9.375,-8.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0031,36.00,36.00,35.75,36.25,35.625,36.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0032,36.00,36.75,35.75,36.25,36.375,37.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0033,36.00,37.50,35.75,36.25,37.125,37.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0034,36.00,38.25,35.75,36.25,37.875,38.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0035,36.00,39.00,35.75,36.25,38.625,39.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0036,36.00,39.75,35.75,36.25,39.375,40.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0037,36.00,40.50,35.75,36.25,40.125,40.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0038,36.00,41.25,35.75,36.25,40.875,41.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0039,36.00,42.00,35.75,36.25,41.625,42.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0040,36.00,42.75,35.75,36.25,42.375,43.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0041,36.00,43.50,35.75,36.25,43.125,43.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0042,36.50,-9.00,36.25,36.75,-9.375,-8.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0043,36.50,-8.25,36.25,36.75,-8.625,-7.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0044,36.50,-7.50,36.25,36.75,-7.875,-7.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0045,36.50,-6.75,36.25,36.75,-7.125,-6.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0046,36.50,-6.00,36.25,36.75,-6.375,-5.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0047,36.50,-5.25,36.25,36.75,-5.625,-4.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0048,36.50,-4.50,36.25,36.75,-4.875,-4.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0049,36.50,-3.75,36.25,36.75,-4.125,-3.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0050,36.50,-3.00,36.25,36.75,-3.375,-2.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0051,36.50,-2.25,36.25,36.75,-2.625,-1.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0052,36.50,-1.50,36.25,36.75,-1.875,-1.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0053,36.50,-0.75,36.25,36.75,-1.125,-0.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0054,36.50,0.00,36.25,36.75,-0.375,0.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0055,36.50,0.75,36.25,36.75,0.375,1.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0056,36.50,1.50,36.25,36.75,1.125,1.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0057,36.50,2.25,36.25,36.75,1.875,2.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0058,36.50,3.00,36.25,36.75,2.625,3.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0059,36.50,26.25,36.25,36.75,25.875,26.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0060,36.50,27.00,36.25,36.75,26.625,27.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0061,36.50,27.75,36.25,36.75,27.375,28.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0062,36.50,28.50,36.25,36.75,28.125,28.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0063,36.50,29.25,36.25,36.75,28.875,29.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0064,36.50,30.00,36.25,36.75,29.625,30.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0065,36.50,30.75,36.25,36.75,30.375,31.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0066,36.50,31.50,36.25,36.75,31.125,31.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0067,36.50,32.25,36.25,36.75,31.875,32.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0068,36.50,33.00,36.25,36.75,32.625,33.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0069,36.50,33.75,36.25,36.75,33.375,34.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0070,36.50,34.50,36.25,36.75,34.125,34.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0071,36.50,35.25,36.25,36.75,34.875,35.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0072,36.50,36.00,36.25,36.75,35.625,36.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0073,36.50,36.75,36.25,36.75,36.375,37.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0074,36.50,37.50,36.25,36.75,37.125,37.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0075,36.50,38.25,36.25,36.75,37.875,38.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0076,36.50,39.00,36.25,36.75,38.625,39.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0077,36.50,39.75,36.25,36.75,39.375,40.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0078,36.50,40.50,36.25,36.75,40.125,40.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0079,36.50,41.25,36.25,36.75,40.875,41.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0080,36.50,42.00,36.25,36.75,41.625,42.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0081,36.50,42.75,36.25,36.75,42.375,43.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0082,36.50,43.50,36.25,36.75,43.125,43.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0083,37.00,-9.00,36.75,37.25,-9.375,-8.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0084,37.00,-8.25,36.75,37.25,-8.625,-7.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0085,37.00,-7.50,36.75,37.25,-7.875,-7.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0086,37.00,-6.75,36.75,37.25,-7.125,-6.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0087,37.00,-6.00,36.75,37.25,-6.375,-5.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0088,37.00,-5.25,36.75,37.25,-5.625,-4.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0089,37.00,-4.50,36.75,37.25,-4.875,-4.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0090,37.00,-3.75,36.75,37.25,-4.125,-3.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0091,37.00,-3.00,36.75,37.25,-3.375,-2.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0092,37.00,-2.25,36.75,37.25,-2.625,-1.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0093,37.00,-1.50,36.75,37.25,-1.875,-1.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0094,37.00,-0.75,36.75,37.25,-1.125,-0.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0095,37.00,0.00,36.75,37.25,-0.375,0.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0096,37.00,0.75,36.75,37.25,0.375,1.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0097,37.00,1.50,36.75,37.25,1.125,1.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0098,37.00,2.25,36.75,37.25,1.875,2.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0099,37.00,3.00,36.75,37.25,2.625,3.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0100,37.00,26.25,36.75,37.25,25.875,26.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0101,37.00,27.00,36.75,37.25,26.625,27.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0102,37.00,27.75,36.75,37.25,27.375,28.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0103,37.00,28.50,36.75,37.25,28.125,28.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0104,37.00,29.25,36.75,37.25,28.875,29.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0105,37.00,30.00,36.75,37.25,29.625,30.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0106,37.00,30.75,36.75,37.25,30.375,31.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0107,37.00,31.50,36.75,37.25,31.125,31.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0108,37.00,32.25,36.75,37.25,31.875,32.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0109,37.00,33.00,36.75,37.25,32.625,33.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0110,37.00,33.75,36.75,37.25,33.375,34.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0111,37.00,34.50,36.75,37.25,34.125,34.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0112,37.00,35.25,36.75,37.25,34.875,35.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0113,37.00,36.00,36.75,37.25,35.625,36.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0114,37.00,36.75,36.75,37.25,36.375,37.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0115,37.00,37.50,36.75,37.25,37.125,37.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0116,37.00,38.25,36.75,37.25,37.875,38.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0117,37.00,39.00,36.75,37.25,38.625,39.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0118,37.00,39.75,36.75,37.25,39.375,40.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0119,37.00,40.50,36.75,37.25,40.125,40.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0120,37.00,41.25,36.75,37.25,40.875,41.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0121,37.00,42.00,36.75,37.25,41.625,42.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0122,37.00,42.75,36.75,37.25,42.375,43.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0123,37.00,43.50,36.75,37.25,43.125,43.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0124,37.50,-9.00,37.25,37.75,-9.375,-8.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0125,37.50,-8.25,37.25,37.75,-8.625,-7.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0126,37.50,-7.50,37.25,37.75,-7.875,-7.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0127,37.50,-6.75,37.25,37.75,-7.125,-6.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0128,37.50,-6.00,37.25,37.75,-6.375,-5.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0129,37.50,-5.25,37.25,37.75,-5.625,-4.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0130,37.50,-4.50,37.25,37.75,-4.875,-4.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0131,37.50,-3.75,37.25,37.75,-4.125,-3.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0132,37.50,-3.00,37.25,37.75,-3.375,-2.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0133,37.50,-2.25,37.25,37.75,-2.625,-1.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0134,37.50,-1.50,37.25,37.75,-1.875,-1.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0135,37.50,-0.75,37.25,37.75,-1.125,-0.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0136,37.50,0.00,37.25,37.75,-0.375,0.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0137,37.50,0.75,37.25,37.75,0.375,1.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0138,37.50,1.50,37.25,37.75,1.125,1.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0139,37.50,2.25,37.25,37.75,1.875,2.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0140,37.50,3.00,37.25,37.75,2.625,3.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0141,37.50,26.25,37.25,37.75,25.875,26.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0142,37.50,27.00,37.25,37.75,26.625,27.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0143,37.50,27.75,37.25,37.75,27.375,28.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0144,37.50,28.50,37.25,37.75,28.125,28.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0145,37.50,29.25,37.25,37.75,28.875,29.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0146,37.50,30.00,37.25,37.75,29.625,30.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0147,37.50,30.75,37.25,37.75,30.375,31.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0148,37.50,31.50,37.25,37.75,31.125,31.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0149,37.50,32.25,37.25,37.75,31.875,32.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0150,37.50,33.00,37.25,37.75,32.625,33.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0151,37.50,33.75,37.25,37.75,33.375,34.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0152,37.50,34.50,37.25,37.75,34.125,34.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0153,37.50,35.25,37.25,37.75,34.875,35.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0154,37.50,36.00,37.25,37.75,35.625,36.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0155,37.50,36.75,37.25,37.75,36.375,37.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0156,37.50,37.50,37.25,37.75,37.125,37.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0157,37.50,38.25,37.25,37.75,37.875,38.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0158,37.50,39.00,37.25,37.75,38.625,39.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0159,37.50,39.75,37.25,37.75,39.375,40.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0160,37.50,40.50,37.25,37.75,40.125,40.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0161,37.50,41.25,37.25,37.75,40.875,41.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0162,37.50,42.00,37.25,37.75,41.625,42.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0163,37.50,42.75,37.25,37.75,42.375,43.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0164,37.50,43.50,37.25,37.75,43.125,43.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0165,38.00,-9.00,37.75,38.25,-9.375,-8.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0166,38.00,-8.25,37.75,38.25,-8.625,-7.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0167,38.00,-7.50,37.75,38.25,-7.875,-7.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0168,38.00,-6.75,37.75,38.25,-7.125,-6.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0169,38.00,-6.00,37.75,38.25,-6.375,-5.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0170,38.00,0.75,37.75,38.25,0.375,1.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0171,38.00,1.50,37.75,38.25,1.125,1.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0172,38.00,2.25,37.75,38.25,1.875,2.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0173,38.00,3.00,37.75,38.25,2.625,3.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0174,38.00,26.25,37.75,38.25,25.875,26.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0175,38.00,27.00,37.75,38.25,26.625,27.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0176,38.00,27.75,37.75,38.25,27.375,28.125,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0177,38.00,28.50,37.75,38.25,28.125,28.875,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0178,38.00,29.25,37.75,38.25,28.875,29.625,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
Ciconia ciconia,ciconia_ciconia_0179,38.00,30.00,37.75,38.25,29.625,30.375,Approximate 50-km European breeding range grid; EBBA2-informed placeholder
